scanId,level,x_low,y_low,z_low,x_high,y_high,z_high,width,height
17DRP5sb8fy,0,-11.5795,-2.92465,-0.21,5.99388,5.9349,1.49,928,492
1LXtFkjw3qL,0,-7.95234,-17.4859,-3.26,5.8844,4.60489,-1.56,741,1154
1LXtFkjw3qL,1,-7.95234,-17.4859,-0.27,5.8844,4.60489,1.43,741,1154
1LXtFkjw3qL,2,-7.95234,-17.4859,3.14,5.8844,4.60489,4.84,741,1154
1pXnuDYAj8r,0,-6.14158,-18.0938,-0.46,23.8013,13.47,1.24,1547,1628
1pXnuDYAj8r,1,-6.14158,-18.0938,3.22,23.8013,13.47,4.92,1547,1628
29hnd4uzFmX,0,-10.5618,-3.62971,-0.56,3.84576,10.2329,1.14,770,743
29hnd4uzFmX,1,-10.5618,-3.62971,2.46,3.84576,10.2329,4.16,770,743
2azQ1b91cZZ,0,-10.5146,-18.4014,-0.25,32.593,11.7108,1.45,2205,1555
2azQ1b91cZZ,1,-10.5146,-18.4014,3.12,32.593,11.7108,4.82,2205,1555
2n8kARJN3HM,0,-5.29464,-21.5647,-3.81,25.0252,8.69572,-2.11,1565,1563
2n8kARJN3HM,1,-5.29464,-21.5647,-0.21,25.0252,8.69572,1.49,1565,1563
2t7WUuJeko7,0,-1.68429,-7.80449,-0.21,10.1433,2.19928,1.49,641,550
5LpN3gDmAk7,0,-6.99139,-20.1074,-1.51,20.6237,7.50771,0.19,1430,1430
5LpN3gDmAk7,1,-6.99139,-20.1074,2.68,20.6237,7.50771,4.38,1430,1430
5ZKStnWn8Zo,0,-12.1567,-10.1035,-3.4,30.7236,10.5093,-1.7,2194,1080
5ZKStnWn8Zo,1,-12.1567,-10.1035,-0.21,30.7236,10.5093,1.49,2194,1080
5q7pvUzZiYa,0,-3.48904,-6.42537,-3.77,27.8037,8.46964,-2.07,1614,794
5q7pvUzZiYa,1,-3.48904,-6.42537,-0.24,27.8037,8.46964,1.46,1614,794
5q7pvUzZiYa,2,-3.48904,-6.42537,2.97,27.8037,8.46964,4.67,1614,794
759xd9YjKW5,0,-16.3287,-23.6871,-0.22,2.10843,12.1917,1.48,971,1843
759xd9YjKW5,1,-16.3287,-23.6871,2.92,2.10843,12.1917,4.62,971,1843
7y3sRwLe3Va,0,-22.7063,-11.9441,-2.9,0.838331,2.87293,-1.2,1227,790
7y3sRwLe3Va,1,-22.7063,-11.9441,-0.81,0.838331,2.87293,0.89,1227,790
7y3sRwLe3Va,2,-22.7063,-11.9441,2.84,0.838331,2.87293,4.54,1227,790
8194nk5LbLH,0,-8.16321,-8.42734,-0.2,10.9609,5.59696,1.5,1006,751
8194nk5LbLH,1,-8.16321,-8.42734,2.59,10.9609,5.59696,4.29,1006,751
82sE5b5pLXE,0,-30.4848,-2.80517,-1.01,6.45519,28.2503,1,1896,1602
82sE5b5pLXE,1,-30.4848,-2.80517,2.29,6.45519,28.2503,3.99,1896,1602
8WUmhLawc2A,0,-21.092,-8.09294,-0.23,4.68808,15.7767,1.47,1339,1243
ARNzJeq3xxb,0,-8.73426,-7.25977,-0.85,30.302,10.476,0.85,2001,936
B6ByNegPMKs,0,-9.10251,-49.1974,-0.26,90.0399,34.3827,1.44,5007,4229
D7G3Y4RVNrH,0,-2.77126,-1.49853,-3.7,2.22041,12.4052,-2.2,299,745
D7G3Y4RVNrH,1,-2.77126,-1.49853,-0.22,2.22041,12.4052,1.48,299,745
D7G3Y4RVNrH,2,-2.77126,-1.49853,2.2,2.22041,12.4052,3.7,299,745
D7N2EKCX4Sj,0,-21.1772,-23.1692,-3.66,15.6041,14.8308,-1.96,1889,1950
D7N2EKCX4Sj,1,-21.1772,-23.1692,-0.24,15.6041,14.8308,1.46,1889,1950
D7N2EKCX4Sj,2,-21.1772,-23.1692,2.63,15.6041,14.8308,4.33,1889,1950
E9uDoFAP3SH,0,-22.0624,-20.1812,-6.25,21.1799,12.7852,-4.55,2212,1698
E9uDoFAP3SH,1,-22.0624,-20.1812,-0.17,21.1799,12.7852,1.53,2212,1698
EDJbREhghzL,0,-13.8101,-9.45178,-0.23,10.6395,2.60618,1.47,1272,652
EDJbREhghzL,1,-13.8101,-9.45178,2.78,10.6395,2.60618,4.48,1272,652
EU6Fwq7SyZv,0,-4.79778,-11.1748,-2.72,12.6184,2.01359,-1.02,920,709
EU6Fwq7SyZv,1,-4.79778,-11.1748,-0.21,12.6184,2.01359,1.49,920,709
EU6Fwq7SyZv,2,-4.79778,-11.1748,3.4,12.6184,2.01359,5.1,920,709
GdvgFV5R1Z5,0,-7.54791,-4.57523,-0.21,1.1201,4.0511,1.49,483,481
HxpKQynjfin,0,-1.10031,-8.17879,-0.21,6.16476,3.01907,1.49,413,609
JF19kD82Mey,0,-3.91463,-9.4369,-0.28,16.7206,3.29057,1.42,1081,686
JF19kD82Mey,1,-3.91463,-9.4369,2.97,16.7206,3.29057,4.67,1081,686
JeFG25nYj2p,0,-10.8765,-15.3731,-0.22,13.0522,8.19432,1.48,1246,1228
JmbYfDe2QKZ,0,-15.6547,-7.45656,-0.25,2.07722,6.72407,1.45,936,759
JmbYfDe2QKZ,1,-15.6547,-7.45656,2.32,2.07722,6.72407,4.02,936,759
PX4nDJXEHrG,0,-22.6982,-17.0259,-4.37,0.921886,24.8665,-2.17,1231,2144
PX4nDJXEHrG,1,-22.6982,-17.0259,-1.28,0.921886,24.8665,0.92,1231,2144
PX4nDJXEHrG,2,-22.6982,-17.0259,2.26,0.921886,24.8665,3.96,1231,2144
Pm6F8kyY3z2,0,-6.24581,-10.3972,-0.76,4.43787,12.8403,0.94,584,1211
PuKPg4mmafe,0,-27.6369,-62.3241,-0.22,23.256,12.4223,1.48,2594,3787
QUCTc6BB5sX,0,-17.4792,-19.0244,-3.43,11.8076,26.6645,-1.73,1514,2334
QUCTc6BB5sX,1,-17.4792,-19.0244,-0.24,11.8076,26.6645,1.46,1514,2334
RPmz2sHmrrY,0,-4.27477,-12.9787,-0.22,4.28267,0.907722,1.48,477,744
S9hNv5qa7GM,0,-18.1438,-10.6558,-0.23,4.68162,10.3281,1.47,1191,1099
S9hNv5qa7GM,1,-18.1438,-10.6558,2.57,4.68162,10.3281,4.27,1191,1099
SN83YJsR3w2,0,-16.6257,-17.6391,-3.81,19.8706,27.4406,-2.11,1874,2303
SN83YJsR3w2,1,-16.6257,-17.6391,-0.28,19.8706,27.4406,1.42,1874,2303
SN83YJsR3w2,2,-16.6257,-17.6391,3.05,19.8706,27.4406,4.75,1874,2303
TbHJrupSAjP,0,-7.0856,-1.9586,-2.95,10.5529,14.54,-1.25,931,874
TbHJrupSAjP,1,-7.0856,-1.9586,-0.21,10.5529,14.54,1.49,931,874
TbHJrupSAjP,2,-7.0856,-1.9586,3.21,10.5529,14.54,4.92,931,874
ULsKaCPVFJR,0,-6.24864,-20.4712,-0.26,15.9813,6.45056,1.44,1161,1396
ULsKaCPVFJR,1,-6.24864,-20.4712,2.59,15.9813,6.45056,4.29,1161,1396
UwV83HsGsw3,0,-27.0849,-16.8393,-1.97,11.0596,16.4845,-0.27,1957,1716
UwV83HsGsw3,1,-27.0849,-16.8393,-0.22,11.0596,16.4845,2.1,1957,1716
Uxmj2M2itWa,0,-15.6633,-23.4712,-1.08,21.8193,29.3749,1.63,1924,2692
V2XKFyX4ASd,0,-1.07951,-5.01516,-3.28,10.3462,10.2217,-1.58,621,811
V2XKFyX4ASd,1,-1.07951,-5.01516,-0.25,10.3462,10.2217,1.45,621,811
V2XKFyX4ASd,2,-1.07951,-5.01516,2.64,10.3462,10.2217,4.34,621,811
V2XKFyX4ASd,3,-1.07951,-5.01516,5.57,10.3462,10.2217,7.27,621,811
VFuaQ6m2Qom,0,-26.2803,-14.3951,-4.08,11.3578,36.0017,-2.38,1931,2569
VFuaQ6m2Qom,1,-26.2803,-14.3951,-0.7,11.3578,36.0017,1,1931,2569
VFuaQ6m2Qom,2,-26.2803,-14.3951,4.2,11.3578,36.0017,5.9,1931,2569
VLzqgDo317F,0,-14.2069,-22.1634,-3.42,14.8802,5.27331,-1.72,1504,1421
VLzqgDo317F,1,-14.2069,-22.1634,2.81,14.8802,5.27331,4.51,1504,1421
VVfe2KiqLaN,0,-7.67341,-15.0769,-0.29,12.0001,8.10656,1.41,1033,1209
VVfe2KiqLaN,1,-7.67341,-15.0769,3.06,12.0001,8.10656,4.76,1033,1209
Vt2qJdWjCF2,0,-12.1513,-30.9349,-0.2,64.1341,13.6836,1.5,3864,2280
Vt2qJdWjCF2,1,-12.1513,-30.9349,2.95,64.1341,13.6836,4.65,3864,2280
Vvot9Ly1tCj,0,-17.1385,-27.096,-0.61,20.4417,18.6329,1.39,1929,2336
VzqfbhrpDEA,0,-34.8341,-11.6194,-0.49,8.15818,22.314,1.21,2199,1746
VzqfbhrpDEA,1,-34.8341,-11.6194,3.09,8.15818,22.314,4.79,2199,1746
WYY7iVyf5p8,0,-8.91928,-6.68862,-2.85,5.73625,1.08506,-1.15,782,438
WYY7iVyf5p8,1,-8.91928,-6.68862,-0.23,5.73625,1.08506,1.47,782,438
WYY7iVyf5p8,2,-8.91928,-6.68862,2.6,5.73625,1.08506,4.3,782,438
WYY7iVyf5p8,3,-8.91928,-6.68862,5.42,5.73625,1.08506,7.12,782,438
X7HyMhZNoso,0,-7.90921,-35.3283,-2.64,6.46475,1.21295,1.22,768,1877
X7HyMhZNoso,1,-7.90921,-35.3283,3,6.46475,1.21295,4.7,768,1877
XcA2TqTSSAj,0,-8.28588,-10.1239,-5.3,12.3797,7.79802,-3.6,1083,946
XcA2TqTSSAj,1,-8.28588,-10.1239,-2.99,12.3797,7.79802,-1.29,1083,946
XcA2TqTSSAj,2,-8.28588,-10.1239,-0.22,12.3797,7.79802,1.48,1083,946
XcA2TqTSSAj,3,-8.28588,-10.1239,1.83,12.3797,7.79802,3.53,1083,946
XcA2TqTSSAj,4,-8.28588,-10.1239,2.89,12.3797,7.79802,4.59,1083,946
XcA2TqTSSAj,5,-8.28588,-10.1239,6.06,12.3797,7.79802,7.76,1083,946
YFuZgdQ5vWj,0,-5.57626,-3.03299,-3.38,14.1903,9.10135,-1.68,1038,656
YFuZgdQ5vWj,1,-5.57626,-3.03299,-0.22,14.1903,9.10135,1.48,1038,656
YVUC4YcDtcY,0,-19.5258,-42.5041,-0.21,-4.80062,-11.126,1.49,786,1618
YmJkqBEsHnH,0,-16.3302,-5.39449,-1.11,4.10911,1.38634,1.62,1071,389
Z6MFQCViBuw,0,-5.65365,-8.21815,-1.74,36.8127,20.108,-0.04,2173,1466
Z6MFQCViBuw,1,-5.65365,-8.21815,-0.21,36.8127,20.108,1.49,2173,1466
ZMojNkEp431,0,-5.09482,-11.3404,-1.08,30.9857,13.7798,1.62,1854,1306
aayBHfsNo7d,0,-2.70124,-10.671,-0.23,20.2796,2.98617,1.47,1199,732
aayBHfsNo7d,1,-2.70124,-10.671,3.2,20.2796,2.98617,4.9,1199,732
ac26ZMwG7aT,0,-21.7499,-31.2322,-0.38,19.3634,16.3586,1.32,2105,2429
b8cTxDM8gDG,0,-29.1938,-5.66153,-3.88,9.73248,5.68345,-2.18,1996,617
b8cTxDM8gDG,1,-29.1938,-5.66153,-0.21,9.73248,5.68345,1.49,1996,617
b8cTxDM8gDG,2,-29.1938,-5.66153,3.19,9.73248,5.68345,4.89,1996,617
cV4RVeZvu5T,0,-8.32831,-14.6863,-1.24,10.8662,5.74736,1.48,1009,1071
cV4RVeZvu5T,1,-8.32831,-14.6863,2.99,10.8662,5.74736,4.69,1009,1071
dhjEzFoUFzH,0,-20.2695,-7.25334,-0.17,8.75031,75.6521,2.65,1500,4195
e9zR4mvMWw7,0,0.099135,-7.43467,-2.83,21.5737,8.5449,-1.13,1123,848
e9zR4mvMWw7,1,0.099135,-7.43467,-0.94,21.5737,8.5449,0.76,1123,848
e9zR4mvMWw7,2,0.099135,-7.43467,2.53,21.5737,8.5449,4.23,1123,848
fzynW3qQPVF,0,-7.25444,-20.616,-4.55,45.0895,26.0199,-2.85,2667,2381
fzynW3qQPVF,1,-7.25444,-20.616,-0.22,45.0895,26.0199,1.48,2667,2381
gTV8FGcVJC9,0,-25.8873,-29.4129,-6.72,21.0947,6.76473,-4.22,2399,1858
gTV8FGcVJC9,1,-25.8873,-29.4129,-1.65,21.0947,6.76473,0.85,2399,1858
gTV8FGcVJC9,2,-25.8873,-29.4129,1.96,21.0947,6.76473,4.46,2399,1858
gTV8FGcVJC9,3,-25.8873,-29.4129,6.93,21.0947,6.76473,8.63,2399,1858
gYvKGZ5eRqb,0,-23.2288,-2.415,-0.18,3.04176,34.3508,1.52,1363,1888
gZ6f7yhEvPG,0,-4.31721,-2.77298,-0.2,3.59806,2.98884,1.5,445,338
gxdoqLR6rwA,0,-22.5005,-8.04129,-0.96,37.3633,60.8597,2.65,3043,3495
gxdoqLR6rwA,1,-22.5005,-8.04129,3.22,37.3633,60.8597,4.92,3043,3495
i5noydFURQK,0,-4.97301,-12.7326,-3.6,7.18665,2.32117,-1.9,657,802
i5noydFURQK,1,-4.97301,-12.7326,-0.21,7.18665,2.32117,1.49,657,802
jh4fc5c5qoQ,0,-3.17051,-5.98221,-0.22,16.4705,9.25014,1.48,1032,811
jtcxE69GiFV,0,-19.9759,-13.2415,-0.21,11.4221,14.5876,1.49,1619,1441
jtcxE69GiFV,1,-19.9759,-13.2415,2.96,11.4221,14.5876,4.66,1619,1441
kEZ7cmS4wCh,0,-33.6411,-17.0739,-1.11,25.5559,20.8304,0.59,3009,1945
kEZ7cmS4wCh,1,-33.6411,-17.0739,3.04,25.5559,20.8304,4.74,3009,1945
kEZ7cmS4wCh,2,-33.6411,-17.0739,6.45,25.5559,20.8304,8.15,3009,1945
mJXqzFtmKg4,0,-15.938,-14.6258,-0.43,15.2853,27.1539,1.27,1611,2138
oLBMNvg9in8,0,-7.03214,-7.18404,-2.54,8.4628,6.85237,-0.84,824,751
oLBMNvg9in8,1,-7.03214,-7.18404,-0.92,8.4628,6.85237,0.78,824,751
oLBMNvg9in8,2,-7.03214,-7.18404,2.69,8.4628,6.85237,4.39,824,751
oLBMNvg9in8,3,-7.03214,-7.18404,5.62,8.4628,6.85237,7.32,824,751
p5wJjkQkbXX,0,-13.7045,-6.89608,-3.3,15.1871,33.6389,-1.6,1494,2076
p5wJjkQkbXX,1,-13.7045,-6.89608,-0.28,15.1871,33.6389,1.42,1494,2076
pLe4wQe7qrG,0,-2.30408,-3.78546,-0.3,9.1703,3.80703,1.4,623,429
pRbA3pwrgk9,0,-3.73258,-10.7834,-5.96,7.94069,6.66883,-4.26,633,922
pRbA3pwrgk9,1,-3.73258,-10.7834,-2.95,7.94069,6.66883,-1.25,633,922
pRbA3pwrgk9,2,-3.73258,-10.7834,-1.13,7.94069,6.66883,0.57,633,922
pRbA3pwrgk9,3,-3.73258,-10.7834,1.85,7.94069,6.66883,3.55,633,922
pRbA3pwrgk9,4,-3.73258,-10.7834,6.49,7.94069,6.66883,8.19,633,922
pa4otMbVnkk,0,-12.321,-2.68363,-3.34,18.3236,30.0439,-1.64,1582,1686
pa4otMbVnkk,1,-12.321,-2.68363,-0.24,18.3236,30.0439,1.46,1582,1686
pa4otMbVnkk,2,-12.321,-2.68363,3.89,18.3236,30.0439,5.59,1582,1686
pa4otMbVnkk,3,-12.321,-2.68363,7.39,18.3236,30.0439,9.09,1582,1686
q9vSo1VnCiC,0,-14.2694,-11.3519,-0.22,13.5482,7.98722,1.48,1440,1016
qoiz87JEwZ2,0,-11.6494,-2.23598,-3.46,4.61366,24.347,-1.76,863,1379
qoiz87JEwZ2,1,-11.6494,-2.23598,-0.21,4.61366,24.347,1.49,863,1379
r1Q1Z4BcV1o,0,-35.5501,-20.699,-0.23,7.92925,26.0153,1.47,2223,2385
r47D5H71a5s,0,-8.12904,-2.05951,-0.26,18.1693,11.6443,1.44,1364,735
rPc6DW4iMge,0,-8.0698,-22.2334,-3.6,3.75614,10.5602,-1.9,641,1689
rPc6DW4iMge,1,-8.0698,-22.2334,-0.24,3.75614,10.5602,1.46,641,1689
rPc6DW4iMge,2,-8.0698,-22.2334,2.67,3.75614,10.5602,4.37,641,1689
rqfALeAoiTq,0,-2.68308,-5.8715,-3.52,24.2126,5.89713,-1.82,1394,638
rqfALeAoiTq,1,-2.68308,-5.8715,-0.79,24.2126,5.89713,0.91,1394,638
rqfALeAoiTq,2,-2.68308,-5.8715,2.31,24.2126,5.89713,4.01,1394,638
rqfALeAoiTq,3,-2.68308,-5.8715,5.29,24.2126,5.89713,6.99,1394,638
s8pcmisQ38h,0,-2.73363,-4.38444,-3.44,21.932,13.8317,-1.74,1283,960
s8pcmisQ38h,1,-2.73363,-4.38444,-0.2,21.932,13.8317,1.5,1283,960
s8pcmisQ38h,2,-2.73363,-4.38444,2.61,21.932,13.8317,4.31,1283,960
sKLMLpTHeUy,0,-9.23433,-3.92532,-3.11,22.3872,6.33815,-1.41,1631,563
sKLMLpTHeUy,1,-9.23433,-3.92532,-0.27,22.3872,6.33815,1.43,1631,563
sKLMLpTHeUy,2,-9.23433,-3.92532,2.68,22.3872,6.33815,4.38,1631,563
sT4fr6TAbpF,0,-5.2885,-11.9621,-0.49,13.1713,24.1947,1.21,972,1857
uNb9QFRL6hY,0,-20.5939,-3.70362,-1.83,5.13842,39.4982,0.9,1336,2210
uNb9QFRL6hY,1,-20.5939,-3.70362,1.47,5.13842,39.4982,4.76,1336,2210
ur6pFq6Qu1A,0,-24.7881,-6.15876,-0.22,12.4289,41.567,1.48,1910,2436
vyrNrziPKCB,0,-11.7663,-33.6271,-0.58,37.6382,12.7374,1.12,2520,2368
vyrNrziPKCB,1,-11.7663,-33.6271,3.21,37.6382,12.7374,4.91,2520,2368
wc2JMjhGNzB,0,-32.5612,-11.0938,-0.38,5.18442,26.6519,1.32,1937,1937
wc2JMjhGNzB,1,-32.5612,-11.0938,3.26,5.18442,26.6519,4.96,1937,1937
wc2JMjhGNzB,2,-32.5612,-11.0938,6.11,5.18442,26.6519,7.81,1937,1937
x8F5xyUWy9e,0,-15.0309,-9.35743,-0.25,6.68188,10.015,2.47,1135,1018
yqstnuAEVhm,0,-3.5472,-4.95653,-2.48,10.0515,15.9939,-0.78,729,1097
yqstnuAEVhm,1,-3.5472,-4.95653,-0.22,10.0515,15.9939,1.48,729,1097
yqstnuAEVhm,2,-3.5472,-4.95653,2.84,10.0515,15.9939,4.54,729,1097
yqstnuAEVhm,3,-3.5472,-4.95653,5.69,10.0515,15.9939,7.39,729,1097
zsNo4HB9uLZ,0,-3.39834,-5.1798,-0.26,19.4157,10.0336,1.44,1190,810
